Metabolite,Degree
beta-alanine,6
xanthine,6
3-phosphoglycerate,6
uracil,6
nicotinamide,5
threonic acid,5
glutamic acid,4
glyceric acid,4
ribose,3
glucose,3
idonic acid NIST,3
cytidine-5-monophosphate NIST,3
arachidonic acid,3
hypoxanthine,2
inosine,2
cysteine,2
pyruvate,2
maltose,2
2-hydroxyglutaric acid,2
glutamine,2
2-aminoadipic acid,2
isoleucine,2
proline,2
citrulline,2
trehalose,2
malate,2
2-ketoglucose dimethylacetal NIST,2
glycerol-alpha-phosphate,2
monopalmitin-1-glyceride,1
phenylalanine,1
"1,5-anhydroglucitol",1
palmitic acid butyl ester NIST,1
N.acetylaspartate,1
ribose-5-phosphate,1
aspartic acid,1
dodecanol,1
fucose 1 + rhamnose 2,1
p-hydroquinone,1
elaidic acid,1
isothreonic acid,1
asparagine,1
citric.acid,1
gluconic.acid,1
tryptophan,1
arabinose,1
uridine-5'-monophosphate,1
glucuronic.acid,1
pantothenic.acid,1
glycerol,1
glycolic acid,1
fructose,1
creatinine,1
glutathione,1
glycine,1
conduritol-beta-epoxide,1
pentadecanoic acid,1
fumaric acid,1
lysine,1
arginine + ornithine,1
urea,1
homoserine,1
