,rf_name,rf_value,svm_name,svm_value,cart_name,cart_value,lda_name,lda_value,gbm_name,gbm_value,dl_name,dl_value
1,beta-alanine,0.432628949,beta-alanine,0.00933799,beta-alanine,0.231656361,beta-alanine,0.00933799,beta-alanine,0.385751593,beta-alanine,0.007522285
2,xanthine,0.082453057,xanthine,0.008022272,xanthine,0.141460739,xanthine,0.008022272,xanthine,0.073967809,glycolic acid,0.007257369
3,3-phosphoglycerate,0.023671695,glutamic acid,0.007998241,glutamic acid,0.12687167,glutamic acid,0.007998241,3-phosphoglycerate,0.045246083,ribose,0.007084718
4,monopalmitin-1-glyceride,0.020142089,uracil,0.007870875,uracil,0.123343377,uracil,0.007870875,nicotinamide,0.032025664,fructose,0.007080276
5,hypoxanthine,0.017808604,2-hydroxyglutaric acid,0.007855855,threonic acid,0.083916778,2-hydroxyglutaric acid,0.007855855,citric.acid,0.024550038,creatinine,0.007060508
6,phenylalanine,0.016979117,threonic acid,0.007839033,3-phosphoglycerate,0.0458421,threonic acid,0.007839033,gluconic.acid,0.023554653,3-phosphoglycerate,0.007057985
7,uracil,0.015668686,idonic acid NIST,0.007572285,idonic acid NIST,0.042096286,idonic acid NIST,0.007572285,hypoxanthine,0.020930907,uracil,0.00704998
8,"1,5-anhydroglucitol",0.013065466,glyceric acid,0.007544048,ribose-5-phosphate,0.038874101,glyceric acid,0.007544048,tryptophan,0.019088078,xanthine,0.007030406
9,glutamic acid,0.012973286,3-phosphoglycerate,0.007495985,aspartic acid,0.034554757,3-phosphoglycerate,0.007495985,arabinose,0.017203591,glutathione,0.007023268
10,inosine,0.011571264,glutamine,0.007438911,glyceric acid,0.033873473,glutamine,0.007438911,uridine-5'-monophosphate,0.016630027,glycine,0.007011101
11,nicotinamide,0.011195681,2-aminoadipic acid,0.007288715,dodecanol,0.032557637,2-aminoadipic acid,0.007288715,ribose,0.014593213,arachidonic acid,0.006964939
12,glyceric acid,0.010513166,cytidine-5-monophosphate NIST,0.007157143,fucose 1 + rhamnose 2,0.032557637,cytidine-5-monophosphate NIST,0.007157143,pyruvate,0.014380445,2-ketoglucose dimethylacetal NIST,0.006939328
13,palmitic acid butyl ester NIST,0.010318014,isoleucine,0.007127104,maltose,0.032395084,isoleucine,0.007127104,cytidine-5-monophosphate NIST,0.014269145,conduritol-beta-epoxide,0.006928654
14,ribose,0.008230153,proline,0.00708625,inosine,0,proline,0.00708625,glucuronic.acid,0.013517328,glycerol-alpha-phosphate,0.006910615
15,cysteine,0.007728541,nicotinamide,0.007041792,2-ketoglucose dimethylacetal NIST,0,nicotinamide,0.007041792,pantothenic.acid,0.012745441,pentadecanoic acid,0.006849811
